Position,Objekt / Bild,Objektseiten-URL (Zum Objekt),Institution / Quelle,Status,Rechte-Status / To-do,Kommentar,Bearbeitung,Match-URL (aktuell),Match-Konfidenz
15.2,Frühe Fassung des Hexlein,https://ausstellung.hebel-archiv.de/objekte/hexlein-fruehe-version/,Badische Landesbibliothek Karlsruhe,Geklärt,generelle Genehmigung,,,https://ausstellung.hebel-archiv.de/objekte/hexlein-abschrift-1801/,hoch (dokumentierter Metadatenabgleich)
20,"Allemannische Gedichte, Erstdruck, S. 33",https://ausstellung.hebel-archiv.de/objekte/ag-1803-seite-33/,Hebel-Archiv Heidelberg,Geklärt,eigener Bestand,,,https://ausstellung.hebel-archiv.de/objekte/ag-1803-seite-33/,hoch (URL/Slug exakt)
22.4,Letzte Änderungen nach Durchsicht der Fahnen,https://ausstellung.hebel-archiv.de/objekte/marktweiber-erstdruck/,BLB / Ausstellungskontext,Geklärt,soweit BLB-Vorlage,,,https://ausstellung.hebel-archiv.de/objekte/marktweiber-satzmanuskript-seite-3/ | https://ausstellung.hebel-archiv.de/objekte/ag-1803-seite-78/,hoch (dokumentierter Metadatenabgleich; zwei aktuelle Objekte)
13,"Allemannische Gedichte, Erstdruck, Titelblatt",https://ausstellung.hebel-archiv.de/objekte/ag-1803-titelblatt/,Hebel-Archiv Heidelberg,Geklärt,eigener Bestand,,,https://ausstellung.hebel-archiv.de/objekte/ag-1803-titelblatt/,hoch (URL/Slug exakt)
15.1,"Brief Hebel an Friedrich Wilhelm Hitzig, 6. Februar 1801",https://ausstellung.hebel-archiv.de/objekte/hebel-brief-hitzig-1801/,Badische Landesbibliothek Karlsruhe,Geklärt,generelle Genehmigung,,,https://ausstellung.hebel-archiv.de/objekte/hebel-brief-hitzig-1801/,hoch (URL/Slug exakt)
19,Satzmanuskript der Irrlichter,https://ausstellung.hebel-archiv.de/objekte/irrlichter-satzmanuskript-seite-3/,Badische Landesbibliothek Karlsruhe,Geklärt,generelle Genehmigung,,,https://ausstellung.hebel-archiv.de/objekte/irrlichter-satzmanuskript-seite-3/,hoch (URL/Slug exakt)
22.1,Satzvorlage Marktweiber in der Stadt,https://ausstellung.hebel-archiv.de/objekte/marktweiber-satzmanuskript-seite-4/,Badische Landesbibliothek Karlsruhe,Geklärt,generelle Genehmigung,,,https://ausstellung.hebel-archiv.de/objekte/marktweiber-satzmanuskript-seite-4/,hoch (URL/Slug exakt)
22.2,Satzvorlage Die Wiese,https://ausstellung.hebel-archiv.de/objekte/wiese-satzmanuskript/,Badische Landesbibliothek Karlsruhe,Geklärt,generelle Genehmigung,,,https://ausstellung.hebel-archiv.de/objekte/wiese-satzmanuskript-seite-6/,hoch (dokumentierter Metadatenabgleich)
22.3,Satzvorlage Carfunkel,https://ausstellung.hebel-archiv.de/objekte/carfunkel-satzmanuskript/,Badische Landesbibliothek Karlsruhe,Geklärt,generelle Genehmigung,,,https://ausstellung.hebel-archiv.de/objekte/carfunkel-satzmanuskript/,hoch (URL/Slug exakt)
21.2,"Satzvorlage Freude in Ehren / Irrlichter, weitere Ansicht",https://ausstellung.hebel-archiv.de/objekte/irrlichter-satzmanuskript-seite-1/,Badische Landesbibliothek Karlsruhe,Geklärt,generelle Genehmigung,,,https://ausstellung.hebel-archiv.de/objekte/irrlichter-satzmanuskript-seite-1/,hoch (URL/Slug exakt)
