Position,Objekt / Bild,Objektseiten-URL (Zum Objekt),Institution / Quelle,Status,Rechte-Status / To-do,Kommentar,Bearbeitung,Match-URL (aktuell),Match-Konfidenz
58,Christian Meichelt: Federzeichnung / Proteuserschwur,https://ausstellung.hebel-archiv.de/objekte/proteuserschwur-1812/,Dreiländermuseum Lörrach,Geklärt,Genehmigung liegt vor; Quelle gegenüber früherer Fassung geändert,,,https://ausstellung.hebel-archiv.de/objekte/proteuserschwur-1812/,hoch (URL/Slug exakt)
59,"Rezension zur Proteuserphilosophie, Foto Li Wen Kuo",https://ausstellung.hebel-archiv.de/objekte/alz-rezension-1790-lupe/,TSS / Theodor Springmann Stiftung,geklärt,Foto von eigener Mitarbeiterin,,,https://ausstellung.hebel-archiv.de/objekte/alz-rezension-1790-lupe/,hoch (URL/Slug exakt)
57,Allmanach des Proteus-Zeichens,https://ausstellung.hebel-archiv.de/objekte/titelblatt-allmanach-proteus-1791/,Badische Landesbibliothek Karlsruhe,Geklärt,generelle Genehmigung,,,https://ausstellung.hebel-archiv.de/objekte/titelblatt-allmanach-proteus-1791/,hoch (URL/Slug exakt)
98,Zeichnung Hebels aus Z 368,https://ausstellung.hebel-archiv.de/objekte/zeichnung-hebel-z-368-1813/,Badische Landesbibliothek Karlsruhe,Geklärt,generelle Genehmigung,,,https://ausstellung.hebel-archiv.de/objekte/zeichnung-hebel-z-368-1813/,hoch (URL/Slug exakt)
60,Zwischen Hebel und Vreneli steht die Kirche,https://ausstellung.hebel-archiv.de/objekte/agricola-hebel-baustlicher-1814/,Historisches Museum Basel,geklärt,lizenziert unter der Creative-Commons-Lizenz „Namensnennung – Weitergabe unter gleichen Bedingungen 4.0 international“,Ausschnitt,,https://ausstellung.hebel-archiv.de/objekte/agricola-hebel-baustlicher-1814/,hoch (URL/Slug exakt)
62.2,"Hoffmann, Deutschlands Flora, Bild 1",https://ausstellung.hebel-archiv.de/objekte/hoffmann-deutschlands-flora-cryptogamie-1796/,Wellcome Collection,Geklärt,Public Domain Mark (You can use this work for any purpose without restriction under copyright law),Bildmontage des Titelkupfers und des Titelblattes,,https://ausstellung.hebel-archiv.de/objekte/hoffmann-deutschlands-flora-cryptogamie-1796/,hoch (URL/Slug exakt)
62.3,"Hoffmann, Deutschlands Flora, Bild 2",https://ausstellung.hebel-archiv.de/objekte/hoffmann-deutschlands-flora-cryptogamie-1796/,Wellcome Collection,geklärt,Public Domain Mark (You can use this work for any purpose without restriction under copyright law),Ausschnitt,,https://ausstellung.hebel-archiv.de/objekte/hoffmann-deutschlands-flora-cryptogamie-1796/,hoch (URL/Slug exakt)
61,Gustave Fecht mit Hahn,https://ausstellung.hebel-archiv.de/objekte/gustave-fecht-mit-hahn/,"Städtisches Museum am Lindenplatz, Weil am Rhein",Geklärt,mit freundlicher Genehmigung des Museums,Genehmigung des Museums liegt vor.,,https://ausstellung.hebel-archiv.de/objekte/gustave-fecht-mit-hahn/,hoch (URL/Slug exakt)
63.2,"Johann Peter Hebel, Lithographie, dritte Serie",https://ausstellung.hebel-archiv.de/objekte/agricola-johann-peter-hebel-dritte-serie/,Hebel-Archiv Heidelberg,Geklärt,eigener Bestand,,,https://ausstellung.hebel-archiv.de/objekte/agricola-johann-peter-hebel-dritte-serie/,hoch (URL/Slug exakt)
63.1,"Johann Peter Hebel, Lithographie, erste Serie",https://ausstellung.hebel-archiv.de/objekte/agricola-johann-peter-hebel-erste-serie/,Hebel-Archiv Heidelberg,Geklärt,eigener Bestand,,,https://ausstellung.hebel-archiv.de/objekte/agricola-johann-peter-hebel-erste-serie/,hoch (URL/Slug exakt)
62.1,"Carl Christian Gmelin, Gemälde von Ott, um 1800",https://ausstellung.hebel-archiv.de/objekte/carl-christian-gmelin-portraet/,"Staatliches Museum für Naturkunde Karlsruhe, Dauerleihgabe aus Privatbesitz",geklärt,Nutzungsgenehmigung vom Staatlichen Museum für Naturkunde und vom Eigentümer erteilt. ,,,https://ausstellung.hebel-archiv.de/objekte/carl-christian-gmelin-portraet/,hoch (URL/Slug exakt)
65,Landolin Ohmacht: Alabasterrelief Sophie Haufe,https://ausstellung.hebel-archiv.de/objekte/ohmacht-alabasterrelief-sophie-haufe/,Hebel-Archiv Heidelberg,Geklärt,eigener Bestand,,,https://ausstellung.hebel-archiv.de/objekte/ohmacht-alabasterrelief-sophie-haufe/,hoch (URL/Slug exakt)
67,Porträt Jakob I. von Haiti,https://ausstellung.hebel-archiv.de/objekte/portraet-jakob-i-von-haiti/,NobelsaTorak / Wikimedia Commons,Geklärt,CC BY-SA 4.0; Namensnennung und Lizenzangabe,,Ausschnitt,https://ausstellung.hebel-archiv.de/objekte/portraet-jakob-i-von-haiti/,hoch (URL/Slug exakt)
68,Heinrich Pfenninger: Porträt Jean Paul,https://ausstellung.hebel-archiv.de/objekte/pfenninger-portraet-jean-paul-richter/,Gleimhaus Halberstadt,Geklärt,CC BY-NC-SA 4.0; nicht-kommerzielle Nutzung,,,https://ausstellung.hebel-archiv.de/objekte/pfenninger-portraet-jean-paul-richter/,hoch (URL/Slug exakt)
66,Sophie Haufes Memoiren / Zeichnung,https://ausstellung.hebel-archiv.de/objekte/zeichnung-sophie-haufe/,Hebel-Archiv Heidelberg,Geklärt,eigener Bestand,,,https://ausstellung.hebel-archiv.de/objekte/zeichnung-sophie-haufe/,hoch (URL/Slug exakt)
86,Anzeige für das Hotel Erbprinz,https://ausstellung.hebel-archiv.de/objekte/wagner-anzeige-hotel-erbprinz/,Stadtarchiv Karlsruhe,Offen,Genehmigung des Stadtarchivs Karlsruhe einholen,Signatur 8/PBS XIVe 205,Ausschnitt,https://ausstellung.hebel-archiv.de/objekte/wagner-anzeige-hotel-erbprinz/,hoch (URL/Slug exakt)
69.3,"Pietro Antonio Novelli: The Attitudes of Lady Hamilton, 1791",https://ausstellung.hebel-archiv.de/objekte/hamilton-attituden-novelli-1791/,"National Gallery of Art, Washington, Accession Number 1988.14.1",Geklärt,Public Domain; keine Genehmigung erforderlich,"Bildnachweis: National Gallery of Art, Washington, Ailsa Mellon Bruce Fund, 1988.14.1.",,https://ausstellung.hebel-archiv.de/objekte/hamilton-attituden-novelli-1791/,hoch (URL/Slug exakt)
71,Blick auf die Bühne des Karlsruher Theaterhauses,https://ausstellung.hebel-archiv.de/objekte/weinbrenner-karlsruher-theater-buehne-1806/,Staatliche Kunsthalle Karlsruhe,Geklärt,Genehmigung der Kunsthalle KA,Ausschnitt,"Farbe, Halligkeit/Kontrast, Schärfe verändert",https://ausstellung.hebel-archiv.de/objekte/weinbrenner-karlsruher-theater-buehne-1806/,hoch (URL/Slug exakt)
72,Blick in den Zuschauerraum,https://ausstellung.hebel-archiv.de/objekte/weinbrenner-karlsruher-theater-loge-1806/,Staatliche Kunsthalle Karlsruhe,Geklärt,Genehmigung der Kunsthalle KA,,"Farbe, Halligkeit/Kontrast, Schärfe verändert",https://ausstellung.hebel-archiv.de/objekte/weinbrenner-karlsruher-theater-loge-1806/,hoch (URL/Slug exakt)
73.1,"Der Verliebte Hauensteiner, Bild 1",https://ausstellung.hebel-archiv.de/objekte/hebel-verliebter-hauensteiner-wochenblatt-1807/,"UB Freiburg, Freiburger Zeitung – digital",Geklärt,Public Domain Mark 1.0,Ausschnitt der Zeitungsseite,,https://ausstellung.hebel-archiv.de/objekte/hebel-verliebter-hauensteiner-wochenblatt-1807/,hoch (URL/Slug exakt)
73.2,"Der Verliebte Hauensteiner, Bild 2",https://ausstellung.hebel-archiv.de/objekte/hebel-verliebter-hauensteiner-wochenblatt-1807/,"UB Freiburg, Freiburger Zeitung – digital",Geklärt,Public Domain Mark 1.0,Ausschnitt der Zeitungsseite,,https://ausstellung.hebel-archiv.de/objekte/hebel-verliebter-hauensteiner-wochenblatt-1807/,hoch (URL/Slug exakt)
73.3,"Der Verliebte Hauensteiner, Bild 3",https://ausstellung.hebel-archiv.de/objekte/hebel-verliebter-hauensteiner-wochenblatt-1807/,"UB Freiburg, Freiburger Zeitung – digital",Geklärt,Public Domain Mark 1.0,Ausschnitt der Zeitungsseite,,https://ausstellung.hebel-archiv.de/objekte/hebel-verliebter-hauensteiner-wochenblatt-1807/,hoch (URL/Slug exakt)
73.4,"Der Verliebte Hauensteiner, Bild 4",https://ausstellung.hebel-archiv.de/objekte/hebel-verliebter-hauensteiner-wochenblatt-1807/,"UB Freiburg, Freiburger Zeitung – digital",Geklärt,Public Domain Mark 1.0,Ausschnitt der Zeitungsseite,,https://ausstellung.hebel-archiv.de/objekte/hebel-verliebter-hauensteiner-wochenblatt-1807/,hoch (URL/Slug exakt)
85,Hebels Eintrag in Henriette Hendels Stammbuch,https://ausstellung.hebel-archiv.de/objekte/hebel-stammbucheintrag-henriette-hendel/,Österreichische Nationalbibliothek Wien,Geklärt,"No Copyright – Non-Commercial Use Only (NoC-NC 1.0), https://rightsstatements.org/page/NoC-NC/1.0/?language=de",ÖNB-Digitalisat: https://data.onb.ac.at/rep/1041DDED,,https://ausstellung.hebel-archiv.de/objekte/hebel-stammbucheintrag-henriette-hendel/,hoch (URL/Slug exakt)
70.3,"Henriette Hendel, Bild 3",https://ausstellung.hebel-archiv.de/objekte/hendel-attitude/,Universitätsbibliothek J. C. Senckenberg Frankfurt,Geklärt,Genehmigung liegt vor,"""Belegexemplar"" erbeten -- also Link schicken?",,https://ausstellung.hebel-archiv.de/objekte/hendel-ariadne-peroux-ritter-1810/,hoch (dokumentierter Metadatenabgleich)
92,Henriette Hendel als Agrippina,https://ausstellung.hebel-archiv.de/objekte/hendel-schuetz-pantomimische-attituede-1812/,Hebel-Archiv Heidelberg,Geklärt,eigener Bestand,,,https://ausstellung.hebel-archiv.de/objekte/hendel-schuetz-pantomimische-attituede-1812/,hoch (URL/Slug exakt)
70.2,"Henriette Hendel, Bild 2",https://ausstellung.hebel-archiv.de/objekte/hendel-caryatide-peroux/,Universitätsbibliothek J. C. Senckenberg Frankfurt,Geklärt,Genehmigung liegt vor,"""Belegexemplar"" erbeten -- also Link schicken?",,https://ausstellung.hebel-archiv.de/objekte/hendel-caryatide-peroux-ritter-1810/,hoch (dokumentierter Metadatenabgleich)
75,Brief an Familie Haufe über Hendels Heirat,https://ausstellung.hebel-archiv.de/objekte/hebel-an-familie-haufe-april-1811/,Badische Landesbibliothek Karlsruhe,Geklärt,generelle Genehmigung,,,https://ausstellung.hebel-archiv.de/objekte/hebel-an-familie-haufe-april-1811/,hoch (URL/Slug exakt)
74,Brief: Dank für die Patenschaft der Tochter Hendels/Schütz,https://ausstellung.hebel-archiv.de/objekte/hebel-an-friedrich-karl-schuetz-1811-01-12/,Hebel-Archiv Heidelberg,Geklärt,eigener Bestand,,,https://ausstellung.hebel-archiv.de/objekte/hebel-an-friedrich-karl-schuetz-1811-01-12/,hoch (URL/Slug exakt)
87,Johann Peter Hebel an Henriette Hendel,https://ausstellung.hebel-archiv.de/objekte/hebel-an-henriette-hendel-1809-11-08/,Badische Landesbibliothek Karlsruhe,Geklärt,generelle Genehmigung,,,https://ausstellung.hebel-archiv.de/objekte/hebel-an-henriette-hendel-1809-11-08/,hoch (URL/Slug exakt)
69.1,"Lady Hamilton als »Nymphe die in ihrer Ruhe aufgeschreckt wird«, Ansicht 1",https://ausstellung.hebel-archiv.de/objekte/hamilton-nymphe-rehberg-piroli-1794/,Universitätsbibliothek Heidelberg,Geklärt,Genehmigung der UB Heidelberg,Leihgebende Institution erbittet nach Veröffentlichung einen Link zur fertigen Online-Ausstellung.,,https://ausstellung.hebel-archiv.de/objekte/hamilton-nymphe-rehberg-piroli-1794/,hoch (URL/Slug exakt)
69.2,"Lady Hamilton als »Nymphe die in ihrer Ruhe aufgeschreckt wird«, Ansicht 2",https://ausstellung.hebel-archiv.de/objekte/hamilton-nymphe-rehberg-piroli-1794/,Universitätsbibliothek Heidelberg,Geklärt,Genehmigung der UB Heidelberg,Leihgebende Institution erbittet nach Veröffentlichung einen Link zur fertigen Online-Ausstellung.,,https://ausstellung.hebel-archiv.de/objekte/hamilton-nymphe-rehberg-piroli-1794/,hoch (URL/Slug exakt)
70.1,"Porträt Henriette Hendel, Bild 1",https://ausstellung.hebel-archiv.de/objekte/portraet-henriette-hendel-peroux-ritter-1810/,Universitätsbibliothek J. C. Senckenberg Frankfurt,Geklärt,Genehmigung liegt vor,"""Belegexemplar"" erbeten -- also Link schicken?",,https://ausstellung.hebel-archiv.de/objekte/portraet-henriette-hendel-peroux-ritter-1810/,hoch (URL/Slug exakt)
76,"Brief Hebel an Kölle, 5. Juli 1812",https://ausstellung.hebel-archiv.de/objekte/brief-hebel-koelle-1812/,Deutsches Literaturarchiv Marbach,Geklärt,Genehmigung liegt vor,,,https://ausstellung.hebel-archiv.de/objekte/brief-hebel-koelle-1812/,hoch (URL/Slug exakt)
78.1,"Brief an Johann Albrecht Ittner, Bild 1",https://ausstellung.hebel-archiv.de/objekte/brief-hebel-ittner-1811/,Universitätsbibliothek Basel,geklärt,"Public domain mark, Quellenangabe: Hebel, Johann Peter: Brief an [J.A. Ittner]. [S.l.], 19. Maii [1811]. Universitätsbibliothek Basel, UBH G IV 49, 4, https://doi.org/10.7891/e-manuscripta-102431 / Public Domain Mark",,,https://ausstellung.hebel-archiv.de/objekte/brief-hebel-ittner-1811/,hoch (URL/Slug exakt)
78.2,"Brief an Ittner, Bild 2",https://ausstellung.hebel-archiv.de/objekte/brief-hebel-ittner-1811/,Universitätsbibliothek Basel,geklärt,"Public domain mark, Quellenangabe: Hebel, Johann Peter: Brief an [J.A. Ittner]. [S.l.], 19. Maii [1811]. Universitätsbibliothek Basel, UBH G IV 49, 4, https://doi.org/10.7891/e-manuscripta-102431 / Public Domain Mark",,,https://ausstellung.hebel-archiv.de/objekte/brief-hebel-ittner-1811/,hoch (URL/Slug exakt)
81,"Brief an Kölle, 2. März 1822",https://ausstellung.hebel-archiv.de/objekte/brief-hebel-koelle-1822/,Universitätsbibliothek Leipzig,Geklärt,"Telefonat mit der UB Leipzig, 24.08. 26: Es gibt keine Nutzungsbeschränkung, die UB Leipzig bittet um vollständige Quellenangabe und einen Link zur Ausstellung",Fotografie Alexander Knopf,,https://ausstellung.hebel-archiv.de/objekte/brief-hebel-koelle-1822/,hoch (URL/Slug exakt)
80,"Brief an Jean Paul Richter, 2. Juni 1811",https://ausstellung.hebel-archiv.de/objekte/brief-hebel-jean-paul-1811/,Hebel-Archiv Heidelberg,Geklärt,eigener Bestand,,,https://ausstellung.hebel-archiv.de/objekte/brief-hebel-jean-paul-1811/,hoch (URL/Slug exakt)
89,Brief von Hebel an Marcus Fidelis Jäck,https://ausstellung.hebel-archiv.de/objekte/brief-hebel-jaeck-1810/,Deutsches Literaturarchiv Marbach,Offen,Genehmigung des Deutschen Literaturarchivs Marbach für dieses Objekt einholen,"Signatur B:Hebel, Johann Peter",,https://ausstellung.hebel-archiv.de/objekte/brief-hebel-jaeck-1810/,hoch (URL/Slug exakt)
90,Brief von Marcus Fidelis Jäck an Hebel,https://ausstellung.hebel-archiv.de/objekte/brief-jaeck-hebel-1810/,Badische Landesbibliothek Karlsruhe,Geklärt,generelle Genehmigung,,,https://ausstellung.hebel-archiv.de/objekte/brief-jaeck-hebel-1810/,hoch (URL/Slug exakt)
88,Hebel an Haufe vom Dezember 1815 (Z 401),https://ausstellung.hebel-archiv.de/objekte/brief-hebel-haufe-dezember-1815/,Badische Landesbibliothek Karlsruhe,Geklärt,generelle Genehmigung,,,https://ausstellung.hebel-archiv.de/objekte/brief-hebel-haufe-dezember-1815/,hoch (URL/Slug exakt)
82,"Brief Hebel an Haufe, Februar 1815",https://ausstellung.hebel-archiv.de/objekte/brief-hebel-haufe-februar-1815/,Badische Landesbibliothek Karlsruhe,Geklärt,generelle Genehmigung,,,https://ausstellung.hebel-archiv.de/objekte/brief-hebel-haufe-februar-1815/,hoch (URL/Slug exakt)
77,Hebel-Darstellung von Vytautas Kazys Jonynas,https://ausstellung.hebel-archiv.de/objekte/hebel-briefmarken-1947-48/,Dreiländermuseum Lörrach,Geklärt,Genehmigung liegt vor,,,https://ausstellung.hebel-archiv.de/objekte/hebel-briefmarken-1947-48/,hoch (URL/Slug exakt)
94,Ittners Monographia de Schnauziis,https://ausstellung.hebel-archiv.de/objekte/ittner-monographia-schnauziis-1810/,Hebel-Archiv Heidelberg,Geklärt,eigener Bestand,,,https://ausstellung.hebel-archiv.de/objekte/ittner-monographia-schnauziis-1810/,hoch (URL/Slug exakt)
79.1,"Widmungsexemplar für Jäck, Bild 1",https://ausstellung.hebel-archiv.de/objekte/widmungsexemplar-allemannische-gedichte-jaeck-1806/,Hebel-Archiv Heidelberg,Geklärt,eigener Bestand,,,https://ausstellung.hebel-archiv.de/objekte/widmungsexemplar-allemannische-gedichte-jaeck-1806/,hoch (URL/Slug exakt)
79.2,"Widmungsexemplar für Jäck, Bild 2",https://ausstellung.hebel-archiv.de/objekte/widmungsexemplar-allemannische-gedichte-jaeck-1806/,Hebel-Archiv Heidelberg,Geklärt,eigener Bestand,,,https://ausstellung.hebel-archiv.de/objekte/widmungsexemplar-allemannische-gedichte-jaeck-1806/,hoch (URL/Slug exakt)
79.3,"Widmungsexemplar für Jäck, Bild 3",https://ausstellung.hebel-archiv.de/objekte/widmungsexemplar-allemannische-gedichte-jaeck-1806/,Hebel-Archiv Heidelberg,Geklärt,eigener Bestand,,,https://ausstellung.hebel-archiv.de/objekte/widmungsexemplar-allemannische-gedichte-jaeck-1806/,hoch (URL/Slug exakt)
79.4,"Widmungsexemplar für Jäck, Bild 4",https://ausstellung.hebel-archiv.de/objekte/widmungsexemplar-allemannische-gedichte-jaeck-1806/,Hebel-Archiv Heidelberg,Geklärt,eigener Bestand,,,https://ausstellung.hebel-archiv.de/objekte/widmungsexemplar-allemannische-gedichte-jaeck-1806/,hoch (URL/Slug exakt)
56.2,Siegel / Proteus-Symbol,https://ausstellung.hebel-archiv.de/objekte/proteus-siegel/,Hebel-Archiv Heidelberg,Geklärt,eigener Bestand,,,,kein Treffer (kein aktueller Objektdatensatz)
