"object_slug","object_title","object_url","image_files","license_text","license_url","license_holder","institution_or_source"
"rechenbuch","Johann Jacob Hebels Rechenbuch","/objekte/rechenbuch/","Bilder/3/3_02_01_Rechenbuch_TSS.webp | Bilder/3/3_02_02_Hebel_K05_Neue_Aufgaben_TSS.webp","Public Domain Mark 1.0; Bearbeitung: Freigestellt","https://creativecommons.org/publicdomain/mark/1.0/deed.de","","Badische Landesbibliothek, Karlsruhe"
"reinhard-hans-und-verene","Radierung zu Hans und Verene von Sophie Reinhard","/objekte/reinhard-hans-und-verene/","Bilder/2-2/2.2_04_Reinhard_Hans_und_Verene_1820_TSS.webp","CC BY-NC 4.0","https://creativecommons.org/licenses/by-nc/4.0/legalcode.en","Hebel-Archiv Heidelberg","Hebel-Archiv Heidelberg"
"reinhard-hexlein","Radierung zum Hexlein von Sophie Reinhard","/objekte/reinhard-hexlein/","Bilder/2-2/2.2_06_Reinhard_Hexlein_1820_TSS.webp","CC BY-NC 4.0","https://creativecommons.org/licenses/by-nc/4.0/legalcode.en","Hebel-Archiv Heidelberg","Hebel-Archiv Heidelberg"
"reinhard-statthalter-von-schopfheim","Radierung zum Statthalter von Schopfheim von Sophie Reinhard","/objekte/reinhard-statthalter-von-schopfheim/","Bilder/2-2/2.2_08_Reinhard_Statthalter_1820_TSS.webp","CC BY-NC 4.0","https://creativecommons.org/licenses/by-nc/4.0/legalcode.en","Hebel-Archiv Heidelberg","Hebel-Archiv Heidelberg"
"rezension-alz-1790","Rezension v. Plessings Versuche zur Aufklärung der Philosophie des ältesten Alterthums","/objekte/rezension-alz-1790/","Bilder/5/Leeres_Nichts_Parmenides_Lupe.webp","CC BY-NC 4.0; Bearbeitung: Freistellung u. Komposition","https://creativecommons.org/licenses/by-nc/4.0/legalcode.en","Hebel-Archiv Heidelberg","Hebel-Archiv Heidelberg"
"rheinlaendischer-hausfreund-1811","Holzschnitt zum »Unverhofften Wiedersehen«","/objekte/rheinlaendischer-hausfreund-1811/","Bilder/3/3_00_01_Hebel_K11_Unverhofftes_Wiedersehen_TSS.webp","CC BY-NC 4.0; Bearbeitung: Ausschnitt","https://creativecommons.org/licenses/by-nc/4.0/legalcode.en","Hebel-Archiv Heidelberg","Hebel-Archiv Heidelberg"
"rheinlaendischer-hausfreund-1814-druckexemplar","Der Rheinländische Hausfreund auf das Jahr 1814","/objekte/rheinlaendischer-hausfreund-1814-druckexemplar/","Bilder/3/3_03_02_Kalender_1814-Druck_TSS.webp","CC BY-NC 4.0","https://creativecommons.org/licenses/by-nc/4.0/legalcode.en","Hebel-Archiv Heidelberg","Hebel-Archiv Heidelberg"
"rheinlaendischer-hausfreund-1814-korrekturexemplar","Der Rheinländische Hausfreund auf das Jahr 1814","/objekte/rheinlaendischer-hausfreund-1814-korrekturexemplar/","Bilder/3/3_03_01_Kalender_1814-Probe_TSS.webp","CC BY-NC 4.0","https://creativecommons.org/licenses/by-nc/4.0/legalcode.en","Hebel-Archiv Heidelberg","Hebel-Archiv Heidelberg"
"rheinlaendischer-hausfreund-1815","Unzensiertes Exemplar des Rheinländischen Hausfreundes auf das Jahr 1815","/objekte/rheinlaendischer-hausfreund-1815/","Bilder/3/3_04_02_Kalender_1815_TSS.webp | Bilder/3/3_04_03_Kalender_1815_TSS.webp","CC BY-NC 4.0","https://creativecommons.org/licenses/by-nc/4.0/legalcode.en","Hebel-Archiv Heidelberg","Hebel-Archiv Heidelberg"
"rheinlaendischer-hausfreund-titel-detail","Titelblatt des Rheinländischen Hausfreunds (Detail)","/objekte/rheinlaendischer-hausfreund-titel-detail/","Bilder/4/Theo_4_1_Slide_3_TB_Rh_Hf_TSS.webp","CC BY-NC 4.0","https://creativecommons.org/licenses/by-nc/4.0/legalcode.en","Hebel-Archiv Heidelberg","Hebel-Archiv Heidelberg"
"sassisge-singedigte-1804","C.[hristian] H.[einrich] Wolke: Düdsge ōr Sassisge Singedigte, Gravsgriften, Leder, singbare Vertelsels un wunderbare Ēventüre sunst nömt Romansen un Balladen","/objekte/sassisge-singedigte-1804/","Bilder/2-3/2.3_02_1_Wolke_TSS.webp | Bilder/2-3/2.3_02_2_Wolke_TSS.webp | Bilder/2-3/2.3_02_3_Wolke_TSS.webp","CC BY-NC 4.0","https://creativecommons.org/licenses/by-nc/4.0/legalcode.en","Hebel-Archiv Heidelberg","Hebel-Archiv Heidelberg"
"satzvorlage-carfunkel","Eigenhändige Satzvorlage des Carfunkel","/objekte/satzvorlage-carfunkel/","Bilder/2-1/2.1_07_03_Carfunkel_H2_BLB.webp | Bilder/2-1/AG_07_03a_Carfunkel_H2_herausgeschnitten.webp | Bilder/2-1/AG_07_03b_Carfunkel_H2_eingeklebt.webp","Mit freundlicher Genehmigung der Badischen Landesbibliothek Karlsruhe","","Badische Landesbibliothek Karlsruhe","Badische Landesbibliothek Karlsruhe"
"satzvorlage-freude-in-ehren","Eigenhändige Satzvorlage zu Freude in Ehren, dritte Seite","/objekte/satzvorlage-freude-in-ehren/","Bilder/2-1/2.1_06_01_FiE_u_Irrlichter_H2_BLB.webp | Bilder/2-1/2.1_06_01a_FiE_H2_BLB.webp","Mit freundlicher Genehmigung der Badischen Landesbibliothek Karlsruhe","","Badische Landesbibliothek Karlsruhe","Badische Landesbibliothek Karlsruhe"
"satzvorlage-irrlichter","Eigenhändige Satzvorlage der Irrlichter, dritte Seite","/objekte/satzvorlage-irrlichter/","Bilder/2-1/2.1_05_01a_Irrlichter_H2_u_D1.webp | Bilder/2-1/2.1_05_01a_Irrlichter_H2_Setzermarkierung.webp","Mit freundlicher Genehmigung der Badischen Landesbibliothek Karlsruhe","","Badische Landesbibliothek Karlsruhe","Badische Landesbibliothek Karlsruhe"
"satzvorlage-irrlichter-satzmanuskript","Eigenhändige Satzvorlage zu den Irrlichtern, erste Seite","/objekte/satzvorlage-irrlichter-satzmanuskript/","Bilder/2-1/2.1_06_01_FiE_u_Irrlichter_H2_BLB.webp | Bilder/2-1/2.1_06_01b_Irrlichter_H2_BLB.webp","Mit freundlicher Genehmigung der Badischen Landesbibliothek Karlsruhe","","Badische Landesbibliothek Karlsruhe","Badische Landesbibliothek Karlsruhe"
