"object_slug","object_title","object_url","image_files","license_text","license_url","license_holder","institution_or_source"
"brief-haufe-februar-1815","Hebel an Haufe vom Februar 1815","/objekte/brief-haufe-februar-1815/","Bilder/7/7_6_1_Z_392_an_Haufe_BLB.webp","Mit freundlicher Genehmigung der Badischen Landesbibliothek Karlsruhe","","Badische Landesbibliothek Karlsruhe","Badische Landesbibliothek Karlsruhe"
"brief-hebel-jaeck-1810","Brief von Hebel an Marcus Fidelis Jäck","/objekte/brief-hebel-jaeck-1810/","Bilder/7/7_03_03_An_Jaeck2_DLA.webp","Mit freundlicher Genehmigung des Deutschen Literaturarchivs Marbach","","DLA Marbach","DLA Marbach"
"brief-hendel-1809","Johann Peter Hebel an Henriette Hendel","/objekte/brief-hendel-1809/","Bilder/6-3/6.3_04_1c_Hebel_an_Hendel_BLB.webp","Public Domain Mark 1.0","https://creativecommons.org/publicdomain/mark/1.0/deed.de","","Badische Landesbibliothek Karlsruhe"
"brief-hitzig-1801","Brief Johann Peter Hebel an Friedrich Wilhelm Hitzig, 6. Februar [1801], erste Seite","/objekte/brief-hitzig-1801/","Bilder/2-1/2.1_02_1a_Hebel_Hitzig_Meine_Liebhaberey_BLB.webp","Public Domain Mark 1.0","https://creativecommons.org/publicdomain/mark/1.0/deed.de","","Badische Landesbibliothek Karlsruhe"
"brief-hitzig-1801-hexlein","Faksimile des Briefs an Friedrich Wilhelm Hitzig vom 6. Februar [1801]. Faksimile der Abschrift von fremder alter Hand einer frühen Version des Hexleins","/objekte/brief-hitzig-1801-hexlein/","Bilder/2-1/2.1_02_03a_Brief_Hexlein_Faltung_AB.webp | Bilder/2-1/2.1_02_03b_Brief_Hexlein_Faltung_AB.webp","Mit freundlicher Genehmigung der Badischen Landesbibliothek Karlsruhe","","Hebel-Archiv Heidelberg","Hebel-Archiv Heidelberg"
"brief-hitzig-1802","Brief Johann Peter Hebel an Friedrich Wilhelm Hitzig, [5. Dezember 1802], zweite Seite","/objekte/brief-hitzig-1802/","Bilder/2-4/2.4_02_01a_Hebel_an_Hitzig_BLB.webp | Bilder/2-4/2.4_02_01b_Hebel_an_Hitzig_Transkription_TSS.webp","Public Domain Mark 1.0","https://creativecommons.org/publicdomain/mark/1.0/deed.de","","BLB Karlsruhe"
"brief-ittner-1811","Brief an Johann Albrecht Ittner","/objekte/brief-ittner-1811/","Bilder/7/7_02_01_An_Ittner_UB_Basel.webp","Public Domain Mark 1.0","https://creativecommons.org/publicdomain/mark/1.0/deed.de","","UB Basel"
"brief-jaeck-hebel-1810","Brief von Marcus Fidelis Jäck an Hebel","/objekte/brief-jaeck-hebel-1810/","Bilder/7/7_03_04_Von_Jaeck4_BLB.webp","Mit freundlicher Genehmigung der Badischen Landesbibliothek Karlsruhe","","Badische Landesbibliothek, Karlsruhe","Badische Landesbibliothek, Karlsruhe"
"brief-koelle-1812","Brief an Christoph Friedrich Karl von Kölle","/objekte/brief-koelle-1812/","Bilder/7/7_00_01_hero_image_An_Koelle_DLA.webp","Mit freundlicher Genehmigung des Deutschen Literaturarchivs Marbach","","DLA Marbach","DLA Marbach"
"brief-koelle-1814","Brief an Kölle, 25. Oktober 1814","/objekte/brief-koelle-1814/","Bilder/3/3_04_01_Brief_an_Koelle_1815_BLB.webp","Public Domain Mark 1.0","https://creativecommons.org/publicdomain/mark/1.0/deed.de","","Badische Landesbibliothek, Karlsruhe"
"brief-koelle-1822","Brief Hebels an Christoph Friedrich Karl von Kölle","/objekte/brief-koelle-1822/","Bilder/7/7_05_01_An_Koelle_UB_Leipzig.webp","Mit freundlicher Genehmigung der Universitätsbibliothek Leipzig; Fotografie: Alexander Knopf","","Universitätsbibliothek Leipzig","Universitätsbibliothek Leipzig"
"brief-richter-1811","Brief Hebels an Jean Paul","/objekte/brief-richter-1811/","Bilder/7/7_04_01_An_Jean_Paul_TSS.webp","CC BY-NC 4.0","https://creativecommons.org/licenses/by-nc/4.0/legalcode.en","Hebel-Archiv Heidelberg","Hebel-Archiv Heidelberg"
"brief-schuetz-1811","Johann Peter Hebel an Friedrich Karl Schütz","/objekte/brief-schuetz-1811/","Bilder/6-3/6.3_05_1a_Hebel_an_Schuetz_TSS.webp","CC BY-NC 4.0","https://creativecommons.org/licenses/by-nc/4.0/legalcode.en","Hebel-Archiv Heidelberg","Hebel-Archiv Heidelberg"
"buehne-karlsruher-theaterhaus","Blick zur Bühne des Karlsruher Theaterhauses am Schlossplatz","/objekte/buehne-karlsruher-theaterhaus/","Bilder/6-3/6.3_03_01a_Theater_Weinbrenner_Buehne_Kunsthalle_KA.webp","Mit freundlicher Genehmigung der Staatlichen Kunsthalle Karlsruhe; Bearbeitung: Ausschnitt, Farbe, Helligkeit/Kontrast, Schärfe verändert","","Staatliche Kunsthalle Karlsruhe","Staatliche Kunsthalle Karlsruhe"
"carl-christian-gmelin","Porträt Carl Christian Gmelins","/objekte/carl-christian-gmelin/","Bilder/6-1/6.1_02_00_SMNK_Gmelin_Gemälde.webp","Mit freundlicher Genehmigung des Staatlichen Museums für Naturkunde Karlsruhe und des Eigentümers","","Staatliches Museum für Naturkunde Karlsruhe, Dauerleihgabe aus Privatbesitz","Staatliches Museum für Naturkunde Karlsruhe, Dauerleihgabe aus Privatbesitz"
"das-oberland","Das Oberland zwischen Freiburg und Basel","/objekte/das-oberland/","Bilder/1/1_00_01_hero_image_Wiesental_BLB.webp","Mit freundlicher Genehmigung der Badischen Landesbibliothek Karlsruhe; Bearbeitung: Ausschnitt","","Badische Landesbibliothek, Karlsruhe","Badische Landesbibliothek, Karlsruhe"
"der-proteuserschwur","Der Proteuserschwur","/objekte/der-proteuserschwur/","Bilder/5/BuP_5_Slide_2_IMage_1_Chr_Meichelt_Prot_Bund_Dreil._Mus._Loerrach.webp | Bilder/5/GrPHe_35_Proteuserbund.webp","Mit freundlicher Genehmigung des Dreiländermuseums Lörrach","","Dreiländermuseum Lörrach","Dreiländermuseum Lörrach"
"ebel-schweitz","Anleitung, auf die nützlichste und genussvollste Art die Schweitz zu bereisen","/objekte/ebel-schweitz/","Bilder/1/1_08_01_Ebel_8_TSS.webp | Bilder/1/1_08_02_Ebel_5_TSS.webp | Bilder/1/1_08_Objektseite_Ebel_Doppelseite.webp","CC BY-NC 4.0","https://creativecommons.org/licenses/by-nc/4.0/legalcode.en","Hebel-Archiv Heidelberg","Hebel-Archiv Heidelberg"
"ehrenpromotion","Urkunde der Ehrenpromotion Johann Peter Hebels","/objekte/ehrenpromotion/","Bilder/4/4.X_01b_Urkunde_Ehrenpromotion_Uni_Archiv_HD.webp","Mit freundlicher Genehmigung des Universitätsarchivs Heidelberg","","Universitätsarchiv Heidelberg","Universitätsarchiv Heidelberg"
"fischmarkt-strassburg","Ansicht des Fischmarkts in Straßburg","/objekte/fischmarkt-strassburg/","Bilder/1/1_09_01_Marche_aux_poissons_Strasbourg.webp","Gemeinfreies Werk; BNU-Digitalisat unter Licence Ouverte 2.0","https://www.etalab.gouv.fr/licence-ouverte-open-licence/","Bibliothèque nationale et universitaire de Strasbourg","Bibliothèque nationale et universitaire de Strasbourg"
"gedichtverzeichnis","Eigenhändiges Gedichtverzeichnis (Titel, Verszahl und potenzieller Druckumfang)","/objekte/gedichtverzeichnis/","Bilder/2-1/2.1_04_Gedichtverzeichnis_BLB.webp","Public Domain Mark 1.0","https://creativecommons.org/publicdomain/mark/1.0/deed.de","","Badische Landesbibliothek Karlsruhe"
"gespenst-an-der-kanderer-strasse","Frühe eigenhändige Version des Gespensts an der Kanderer Straße, erste Seite","/objekte/gespenst-an-der-kanderer-strasse/","Bilder/2-1/2.1_03_01_Gespenst_u_Marktweiber_H1_BLB.webp | Bilder/2-1/2.1_03_01a_Gespenst_H1_BLB.webp","Mit freundlicher Genehmigung der Badischen Landesbibliothek Karlsruhe","","Badische Landesbibliothek Karlsruhe","Badische Landesbibliothek Karlsruhe"
"girardet-hebels-allemannische-gedichte","Friedrich Girardet: Hebels Allemannische Gedichte","/objekte/girardet-hebels-allemannische-gedichte/","Bilder/2-3/2.3_00_Girardet1_TSS.webp | Bilder/2-3/2.3_04_1_Girardet_TSS.webp | Bilder/2-3/2.3_04_2_Girardet_TSS.webp","CC BY-NC 4.0; Bearbeitung: Ausschnitt","https://creativecommons.org/licenses/by-nc/4.0/legalcode.en","Hebel-Archiv Heidelberg","Hebel-Archiv Heidelberg"
"goethe-rezension-allemannische-gedichte","Goethes Rezension der Allemannischen Gedichte in der Jenaischen Allgemeinen Literatur-Zeitung","/objekte/goethe-rezension-allemannische-gedichte/","Bilder/2-1/2.1_01_1_AG_1803_und_ALZ_TSS.webp | Bilder/2-1/2.1_01_02_Goethe_ALZ_01.webp | Bilder/2-3/2.3_01_1_ALZ_Goethe_TSS.webp","CC BY-NC 4.0","https://creativecommons.org/licenses/by-nc/4.0/legalcode.en","Hebel-Archiv Heidelberg","Hebel-Archiv Heidelberg"
"gustave-fecht-mit-hahn","Gustave Fecht mit Hahn","/objekte/gustave-fecht-mit-hahn/","Bilder/6-1/6.1_00_01_Gustave_mit_Hahn_Ausschnitt_Weil.webp | Bilder/6-1/6.1_01_01_Gustave_mit_Hahn_Weil.webp","Mit freundlicher Genehmigung des Städtischen Museums am Lindenplatz, Weil am Rhein","","Städtisches Museum am Lindenplatz, Weil am Rhein","Städtisches Museum am Lindenplatz, Weil am Rhein"
"hamilton-nymphe","Lady Hamilton als »Nymphe die in ihrer Ruhe aufgeschreckt wird«","/objekte/hamilton-nymphe/","Bilder/6-3/6.3_01_01a_Hamilton_Rehberg_UB_Heidelberg.webp","Mit freundlicher Genehmigung der Universitätsbibliothek Heidelberg","","Universitätsbibliothek Heidelberg","Universitätsbibliothek Heidelberg"
"hebel-baustlicher","Doppelbildnis Johann Peter Hebel mit Elisabeth Baustlicher","/objekte/hebel-baustlicher/","Bilder/6/6_00_01_hero_image_Hebel_und_Elisabeth_Baustlicher_Basel.webp","CC BY-SA 4.0; Bearbeitung: Ausschnitt","https://creativecommons.org/licenses/by-sa/4.0/deed.de","Historisches Museum Basel","Historisches Museum Basel"
"hebel-briefmarken","Hebel-Briefmarken","/objekte/hebel-briefmarken/","Bilder/7/7_01_01_APH_93_Briefmarken_Loerrach.webp","Mit freundlicher Genehmigung des Dreiländermuseums Lörrach","","Dreiländermuseum Lörrach","Dreiländermuseum Lörrach"
"hebel-haus-hausen","Zeichnung vom Hebel-Haus in Hausen","/objekte/hebel-haus-hausen/","Bilder/1/1_02_01_Hebelhaus_Schopfheim.webp","Gemeinfrei (Public Domain)","https://creativecommons.org/publicdomain/mark/1.0/deed.de","","Museum Schopfheim"
"hebel-kupferstich","Johann Peter Hebel, Kupferstich","/objekte/hebel-kupferstich/","Bilder/6-1/6.1_03_03_Mueller-Kupferstich_Kunsthalle_KA.webp","CC0 1.0; Bearbeitung: Ausschnitt","https://creativecommons.org/publicdomain/zero/1.0/deed.de","Staatliche Kunsthalle Karlsruhe","Staatliche Kunsthalle Karlsruhe"
"hebel-lithographie-dritte-serie","Johann Peter Hebel, Lithographie (dritte Serie)","/objekte/hebel-lithographie-dritte-serie/","Bilder/6-1/6.1_03_02_Agricola_Abzug_dritte_Serie_TSS.webp","CC BY-NC 4.0","https://creativecommons.org/licenses/by-nc/4.0/legalcode.en","Hebel-Archiv Heidelberg","Hebel-Archiv Heidelberg"
"hebel-lithographie-erste-serie","Johann Peter Hebel, Lithographie (erste Serie)","/objekte/hebel-lithographie-erste-serie/","Bilder/6-1/6.1_03_01_Agricola_Abzug_erste_Serie_TSS.webp","CC BY-NC 4.0","https://creativecommons.org/licenses/by-nc/4.0/legalcode.en","Hebel-Archiv Heidelberg","Hebel-Archiv Heidelberg"
"hebelbueste-peterskirche","Fotografie der Hebelbüste vor der Peterskirche, Basel","/objekte/hebelbueste-peterskirche/","Bilder/4/Theo_4_Hero_Image_Hebelbueste_Basel_Max_Leu.webp","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0/deed.de","Max Leu (Bildhauer), EinDao (Fotograf)","Wikipedia"
"hebels-stammbuch","Hebels Stammbuch, 1777–1781","/objekte/hebels-stammbuch/","Bilder/1/1_05_01_Stammbuch_Rheinwald_BLB.webp | Bilder/1/1_05_02_Stammbuch_Walch_BLB.webp","Public Domain Mark 1.0; Bearbeitung: Freigestellt","https://creativecommons.org/publicdomain/mark/1.0/deed.de","","Badische Landesbibliothek, Karlsruhe"
"hendel-stammbuch","Hebels Eintrag in Henriette Hendels Stammbuch","/objekte/hendel-stammbuch/","Bilder/6-3/6.3_02_01c_Hebel_Stammbucheintrag_OeNB_Wien.webp","No Copyright – Non-Commercial Use Only (NoC-NC 1.0)","https://rightsstatements.org/page/NoC-NC/1.0/?language=de","Österreichische Nationalbibliothek Wien","Österreichische Nationalbibliothek Wien"
"henriette-hendel","Porträt Henriette Hendel","/objekte/henriette-hendel/","Bilder/6-3/6.3_02_01a_Portrait_Hendel_Peroux_UB_Frankfurt.webp","Mit freundlicher Genehmigung der Universitätsbibliothek J. C. Senckenberg Frankfurt","","Universitätsbibliothek Johann Christian Senckenberg (Frankfurt am Main)","Universitätsbibliothek Johann Christian Senckenberg (Frankfurt am Main)"
"henriette-hendel-agrippina","Henriette Hendel als Agrippina","/objekte/henriette-hendel-agrippina/","Bilder/6-3/6.3_01_00_Hendel_Portrait.webp","CC BY-NC 4.0","https://creativecommons.org/licenses/by-nc/4.0/legalcode.en","Hebel-Archiv Heidelberg","Hebel-Archiv Heidelberg"
"henriette-hendel-ariadne","Henriette Hendel als »[Ariadne], als Theseus sie verläßt«","/objekte/henriette-hendel-ariadne/","Bilder/6-3/6.3_01_01b_Hendel_Peroux_UB_Frankfurt.webp","Mit freundlicher Genehmigung der Universitätsbibliothek J. C. Senckenberg Frankfurt","","Universitätsbibliothek Johann Christian Senckenberg (Frankfurt am Main)","Universitätsbibliothek Johann Christian Senckenberg (Frankfurt am Main)"
"henriette-hendel-caryatide","Henriette Hendel als Caryatide","/objekte/henriette-hendel-caryatide/","Bilder/6-3/6.3_02_01b_Hendel_Caryatide_Peroux_UB_Frankfurt.webp","Mit freundlicher Genehmigung der Universitätsbibliothek J. C. Senckenberg Frankfurt","","Universitätsbibliothek Johann Christian Senckenberg (Frankfurt am Main)","Universitätsbibliothek Johann Christian Senckenberg (Frankfurt am Main)"
"hexlein-abschrift","Abschrift von fremder alter Hand einer frühen Version von Hebels Hexlein unter dem Titel E verhexte Burst","/objekte/hexlein-abschrift/","Bilder/2-1/2.1_02_02a+b_Hexlein_Hitzig_BLB.webp | Bilder/2-1/2.1_02_02a_Hexlein_aus_Hebel_Hitzig_BLB_K_1216_01.webp | Bilder/2-1/2.1_02_02b_Hexlein_aus_Hebel_Hitzig_BLB_K_1216_02.webp","Public Domain Mark 1.0","https://creativecommons.org/publicdomain/mark/1.0/deed.de","","Badische Landesbibliothek Karlsruhe"
